trades,roi_total,hit_rate,turnover,sharpe_like,max_drawdown_abs,max_drawdown_pct,ev_threshold,kelly_fraction
57,-0.026188181541574734,0.2807017543859649,0.608596394190056,-0.6634088339182616,-158.94419128437596,-0.15472471992400144,0.0,0.1
57,-0.19408399820180028,0.2807017543859649,1.3212175715772227,-0.6634088339182616,-345.5227842366568,-0.32346957562565787,0.0,0.25
57,-0.3382157909261784,0.2807017543859649,1.9099497721946677,-0.6634088339182616,-423.21579092617844,-0.39006063679832115,0.0,0.5
57,-0.026188181541574734,0.2807017543859649,0.608596394190056,-0.6634088339182616,-158.94419128437596,-0.15472471992400144,0.01,0.1
57,-0.19408399820180028,0.2807017543859649,1.3212175715772227,-0.6634088339182616,-345.5227842366568,-0.32346957562565787,0.01,0.25
57,-0.3382157909261784,0.2807017543859649,1.9099497721946677,-0.6634088339182616,-423.21579092617844,-0.39006063679832115,0.01,0.5
55,-0.02737675446976746,0.2727272727272727,0.6052791145627965,-0.6223165246749718,-158.94419128437596,-0.15472471992400144,0.02,0.1
55,-0.1965358237353422,0.2727272727272727,1.3126718173662208,-0.6223165246749716,-345.5227842366568,-0.32346957562565787,0.02,0.25
55,-0.3422226166432377,0.2727272727272727,1.8901107933798011,-0.6223165246749718,-427.22261664323764,-0.3937535637264863,0.02,0.5
54,-0.025302921073652947,0.2777777777777778,0.6040532189372141,-0.46931227331605385,-158.94419128437596,-0.15472471992400144,0.03,0.1
54,-0.19223920339995965,0.2777777777777778,1.3121629515771869,-0.4693122733160538,-345.5227842366568,-0.32346957562565787,0.03,0.25
54,-0.33514970768812113,0.2777777777777778,1.8923791576420155,-0.46931227331605385,-420.149707688121,-0.38723475362960463,0.03,0.5
52,-0.03168541228407363,0.25,0.5927965230554644,-0.7240476898934081,-161.81867982407084,-0.1575228997796799,0.04,0.1
52,-0.20536572291384053,0.25,1.2804424129677803,-0.7240476898934081,-351.4738790410888,-0.32904083806830825,0.04,0.25
52,-0.3564967686580107,0.25,1.820148630427268,-0.7240476898934081,-441.49676865801075,-0.40690946420093155,0.04,0.5
51,-0.03031707485350819,0.2549019607843137,0.5915774404854409,-0.5669609659830369,-161.81867982407084,-0.1575228997796799,0.05,0.1
51,-0.20255249075435106,0.2549019607843137,1.2784065358781709,-0.5669609659830369,-351.4738790410888,-0.32904083806830825,0.05,0.25
51,-0.351924210257989,0.2549019607843137,1.8176248837322502,-0.5669609659830369,-436.924210257989,-0.402695124661741,0.05,0.5
